chapter,chapter_name,section,section_name,article,article_name,url
Chapter 3,Rights of the data subject,Section 3,Rectification and erasure,Article 19,Notification obligation regarding rectification or erasure of personal data or restriction of processing,https://gdpr-info.eu/art-19-gdpr/
Chapter 3,Rights of the data subject,Section 3,Rectification and erasure,Article 20,Right to data portability,https://gdpr-info.eu/art-20-gdpr/
Chapter 3,Rights of the data subject,Section 4,Right to object and automated individual decision-making,Article 21,Right to object,https://gdpr-info.eu/art-21-gdpr/
Chapter 3,Rights of the data subject,Section 4,Right to object and automated individual decision-making,Article 22,"Automated individual decision-making, including profiling",https://gdpr-info.eu/art-22-gdpr/
Chapter 3,Rights of the data subject,Section 5,Restrictions,Article 23,Restrictions,https://gdpr-info.eu/art-23-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 24,Responsibility of the controller,https://gdpr-info.eu/art-24-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 25,Data protection by design,https://gdpr-info.eu/art-25-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 26,Joint controllers,https://gdpr-info.eu/art-26-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 27,Representatives of controllers or processors not established in the Union,https://gdpr-info.eu/art-27-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 28,Processor,https://gdpr-info.eu/art-28-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 29,Processing under the authority of the controller or processor,https://gdpr-info.eu/art-29-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 30,Records of processing activities,https://gdpr-info.eu/art-30-gdpr/
Chapter 4,Controller and processor,Section 1,General obligations,Article 31,Cooperation with the supervisory authority,https://gdpr-info.eu/art-31-gdpr/
Chapter 4,Controller and processor,Section 2,Security of personal data,Article 32,Security of processing,https://gdpr-info.eu/art-32-gdpr/
Chapter 4,Controller and processor,Section 2,Security of personal data,Article 33,Notification of a personal data breach to the supervisory authority,https://gdpr-info.eu/art-33-gdpr/
Chapter 4,Controller and processor,Section 2,Security of personal data,Article 34,Communication of a personal data breach to the data subject,https://gdpr-info.eu/art-34-gdpr/
Chapter 4,Controller and processor,Section 3,Data protection impact assessment and prior consultation,Article 35,Data protection impact assessment,https://gdpr-info.eu/art-35-gdpr/
Chapter 4,Controller and processor,Section 3,Data protection impact assessment and prior consultation,Article 36,Prior consultation,https://gdpr-info.eu/art-36-gdpr/
Chapter 4,Controller and processor,Section 4,Data protection officer,Article 37,Designation of the data protection officer,https://gdpr-info.eu/art-37-gdpr/
Chapter 4,Controller and processor,Section 4,Data protection officer,Article 38,Position of the data protection officer,https://gdpr-info.eu/art-38-gdpr/
Chapter 4,Controller and processor,Section 4,Data protection officer,Article 39,Tasks of the data protection officer,https://gdpr-info.eu/art-39-gdpr/
Chapter 4,Controller and processor,Section 5,Codes of conduct and certification,Article 40,Codes of conduct,https://gdpr-info.eu/art-40-gdpr/
Chapter 4,Controller and processor,Section 5,Codes of conduct and certification,Article 41,Monitoring of approved codes of conduct,https://gdpr-info.eu/art-41-gdpr/
Chapter 4,Controller and processor,Section 5,Codes of conduct and certification,Article 42,Certification,https://gdpr-info.eu/art-42-gdpr/
Chapter 4,Controller and processor,Section 5,Codes of conduct and certification,Article 43,Certification bodies,https://gdpr-info.eu/art-43-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 44,General principle for transfers,https://gdpr-info.eu/art-44-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 45,Transfers on the basis of an adequacy decision,https://gdpr-info.eu/art-45-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 46,Transfers subject to appropriate safeguards,https://gdpr-info.eu/art-46-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 47,Binding corporate rules,https://gdpr-info.eu/art-47-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 48,Transfers or disclosures not authorised by Union law,https://gdpr-info.eu/art-48-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 49,Derogations for specific situations,https://gdpr-info.eu/art-49-gdpr/
Chapter 5,Transfers of personal data to third countries or international organisations,,,Article 50,International cooperation for the protection of personal data,https://gdpr-info.eu/art-50-gdpr/
Chapter 6,Independent supervisory authorities,Section 1,Independent status,Article 51,Supervisory authority,https://gdpr-info.eu/art-51-gdpr/
Chapter 6,Independent supervisory authorities,Section 1,Independent status,Article 52,Independence,https://gdpr-info.eu/art-52-gdpr/
Chapter 6,Independent supervisory authorities,Section 1,Independent status,Article 53,General conditions for the members of the supervisory authority,https://gdpr-info.eu/art-53-gdpr/
Chapter 6,Independent supervisory authorities,Section 1,Independent status,Article 54,Rules on the establishment of the supervisory authority,https://gdpr-info.eu/art-54-gdpr/
Chapter 6,Independent supervisory authorities,Section 2,"Competence, tasks and powers",Article 55,Competence,https://gdpr-info.eu/art-55-gdpr/
Chapter 6,Independent supervisory authorities,Section 2,"Competence, tasks and powers",Article 56,Competence of the lead supervisory authority,https://gdpr-info.eu/art-56-gdpr/
Chapter 6,Independent supervisory authorities,Section 2,"Competence, tasks and powers",Article 57,Tasks,https://gdpr-info.eu/art-57-gdpr/
Chapter 6,Independent supervisory authorities,Section 2,"Competence, tasks and powers",Article 58,Powers,https://gdpr-info.eu/art-58-gdpr/
Chapter 6,Independent supervisory authorities,Section 2,"Competence, tasks and powers",Article 59,Activity reports,https://gdpr-info.eu/art-59-gdpr/
Chapter 7,Cooperation and consistency,Section 1,Cooperation,Article 60,Cooperation between the lead supervisory authority and the other supervisory authorities concerned,https://gdpr-info.eu/art-60-gdpr/
Chapter 7,Cooperation and consistency,Section 1,Cooperation,Article 61,Mutual assistance,https://gdpr-info.eu/art-61-gdpr/
Chapter 7,Cooperation and consistency,Section 1,Cooperation,Article 62,Joint operations of supervisory authorities,https://gdpr-info.eu/art-62-gdpr/
Chapter 7,Cooperation and consistency,Section 2,Consistency,Article 63,Consistency mechanism,https://gdpr-info.eu/art-63-gdpr/
Chapter 7,Cooperation and consistency,Section 2,Consistency,Article 64,Opinion of the Board,https://gdpr-info.eu/art-64-gdpr/
Chapter 7,Cooperation and consistency,Section 2,Consistency,Article 65,Dispute resolution by the Board,https://gdpr-info.eu/art-65-gdpr/
Chapter 7,Cooperation and consistency,Section 2,Consistency,Article 66,Urgency procedure,https://gdpr-info.eu/art-66-gdpr/
Chapter 7,Cooperation and consistency,Section 2,Consistency,Article 67,Exchange of information,https://gdpr-info.eu/art-67-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 68,European Data Protection Board,https://gdpr-info.eu/art-68-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 69,Independence,https://gdpr-info.eu/art-69-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 70,Tasks of the Board,https://gdpr-info.eu/art-70-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 71,Reports,https://gdpr-info.eu/art-71-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 72,Procedure,https://gdpr-info.eu/art-72-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 73,Chair,https://gdpr-info.eu/art-73-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 74,Tasks of the Chair,https://gdpr-info.eu/art-74-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 75,Secretariat,https://gdpr-info.eu/art-75-gdpr/
Chapter 7,Cooperation and consistency,Section 3,European data protection board,Article 76,Confidentiality,https://gdpr-info.eu/art-76-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 77,Right to lodge a complaint with a supervisory authority,https://gdpr-info.eu/art-77-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 78,Right to an effective judicial remedy against a supervisory authority,https://gdpr-info.eu/art-78-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 79,Right to an effective judicial remedy against a controller or processor,https://gdpr-info.eu/art-79-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 80,Representation of data subjects,https://gdpr-info.eu/art-80-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 81,Suspension of proceedings,https://gdpr-info.eu/art-81-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 82,Right to compensation and liability,https://gdpr-info.eu/art-82-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 83,General conditions for imposing administrative fines,https://gdpr-info.eu/art-83-gdpr/
Chapter 8,"Remedies, liability and penalties",,,Article 84,Penalties,https://gdpr-info.eu/art-84-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 85,Processing and freedom of expression and information,https://gdpr-info.eu/art-85-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 86,Processing and public access to official documents,https://gdpr-info.eu/art-86-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 87,Processing of the national identification number,https://gdpr-info.eu/art-87-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 88,Processing in the context of employment,https://gdpr-info.eu/art-88-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 89,"Safeguards and derogations relating to processing for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes",https://gdpr-info.eu/art-89-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 90,Obligations of secrecy,https://gdpr-info.eu/art-90-gdpr/
Chapter 9,Provisions relating to specific processing situations,,,Article 91,Existing data protection rules of churches and religious associations,https://gdpr-info.eu/art-91-gdpr/
Chapter 10,Delegated acts and implementing acts,,,Article 92,Exercise of the delegation,https://gdpr-info.eu/art-92-gdpr/
Chapter 10,Delegated acts and implementing acts,,,Article 93,Committee procedure,https://gdpr-info.eu/art-93-gdpr/
Chapter 11,Final provisions,,,Article 94,Repeal of Directive 95/46/EC,https://gdpr-info.eu/art-94-gdpr/
Chapter 11,Final provisions,,,Article 95,Relationship with Directive 2002/58/EC,https://gdpr-info.eu/art-95-gdpr/
Chapter 11,Final provisions,,,Article 96,Relationship with previously concluded Agreements,https://gdpr-info.eu/art-96-gdpr/
Chapter 11,Final provisions,,,Article 97,Commission reports,https://gdpr-info.eu/art-97-gdpr/
Chapter 11,Final provisions,,,Article 98,Review of other Union legal acts on data protection,https://gdpr-info.eu/art-98-gdpr/
Chapter 11,Final provisions,,,Article 99,Entry into force and application,https://gdpr-info.eu/art-99-gdpr/
