chapter,chapter_name,section,section_name,article,article_name,url
Chapter 3,High-risk AI systems,Section 5,"Standards, conformity assessment, certificates, registration",Article 49,Registration,https://ai-act-law.eu/article/49/
Chapter 4,Transparency obligations for providers and deployers of certain AI systems,,,Article 50,Transparency obligations for providers and deployers of certain AI systems,https://ai-act-law.eu/article/50/
Chapter 5,General-purpose AI models,Section 1,Classification rules,Article 51,Classification of general-purpose AI models as general-purpose AI models with systemic risk,https://ai-act-law.eu/article/51/
Chapter 5,General-purpose AI models,Section 1,Classification rules,Article 52,Procedure,https://ai-act-law.eu/article/52/
Chapter 5,General-purpose AI models,Section 2,Obligations for providers of general-purpose AI models,Article 53,Obligations for providers of general-purpose AI models,https://ai-act-law.eu/article/53/
Chapter 5,General-purpose AI models,Section 2,Obligations for providers of general-purpose AI models,Article 54,Authorised representatives of providers of general-purpose AI models,https://ai-act-law.eu/article/54/
Chapter 5,General-purpose AI models,Section 3,Obligations of providers of general-purpose AI models with systemic risk,Article 55,Obligations of providers of general-purpose AI models with systemic risk,https://ai-act-law.eu/article/55/
Chapter 5,General-purpose AI models,Section 4,Codes of practice,Article 56,Codes of practice,https://ai-act-law.eu/article/56/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 57,AI regulatory sandboxes,https://ai-act-law.eu/article/57/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 58,"Detailed arrangements for, and functioning of, AI regulatory sandboxes",https://ai-act-law.eu/article/58/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 59,Further processing of personal data for developing certain AI systems in the public interest in the AI regulatory sandbox,https://ai-act-law.eu/article/59/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 60,Testing of high-risk AI systems in real world conditions outside AI regulatory sandboxes,https://ai-act-law.eu/article/60/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 61,Informed consent to participate in testing in real world conditions outside AI regulatory sandboxes,https://ai-act-law.eu/article/61/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 62,"Measures for providers and deployers, in particular SMEs, including start-ups",https://ai-act-law.eu/article/62/
Chapter 6,Measures in support of innovation,Section 4,Codes of practice,Article 63,Derogations for specific operators,https://ai-act-law.eu/article/63/
Chapter 7,Governance,Section 1,Governance at Union level,Article 64,AI Office,https://ai-act-law.eu/article/64/
Chapter 7,Governance,Section 1,Governance at Union level,Article 65,Establishment and structure of the European Artificial Intelligence Board,https://ai-act-law.eu/article/65/
Chapter 7,Governance,Section 1,Governance at Union level,Article 66,Tasks of the Board,https://ai-act-law.eu/article/66/
Chapter 7,Governance,Section 1,Governance at Union level,Article 67,Advisory forum,https://ai-act-law.eu/article/67/
Chapter 7,Governance,Section 1,Governance at Union level,Article 68,Scientific panel of independent experts,https://ai-act-law.eu/article/68/
Chapter 7,Governance,Section 1,Governance at Union level,Article 69,Access to the pool of experts by the Member States,https://ai-act-law.eu/article/69/
Chapter 7,Governance,Section 2,National competent authorities,Article 70,Designation of national competent authorities and single points of contact,https://ai-act-law.eu/article/70/
Chapter 8,EU database for high-risk AI systems,,,Article 71,EU database for high-risk AI systems listed in Annex III,https://ai-act-law.eu/article/71/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 1,Post-market monitoring,Article 72,Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,https://ai-act-law.eu/article/72/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 2,Sharing of information on serious incidents,Article 73,Reporting of serious incidents,https://ai-act-law.eu/article/73/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 74,Market surveillance and control of AI systems in the Union market,https://ai-act-law.eu/article/74/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 75,"Mutual assistance, market surveillance and control of general-purpose AI systems",https://ai-act-law.eu/article/75/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 76,Supervision of testing in real world conditions by market surveillance authorities,https://ai-act-law.eu/article/76/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 77,Powers of authorities protecting fundamental rights,https://ai-act-law.eu/article/77/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 78,Confidentiality,https://ai-act-law.eu/article/78/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 79,Procedure at national level for dealing with AI systems presenting a risk,https://ai-act-law.eu/article/79/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 80,Procedure for dealing with AI systems classified by the provider as non-high-risk in application of Annex III,https://ai-act-law.eu/article/80/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 81,Union safeguard procedure,https://ai-act-law.eu/article/81/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 82,Compliant AI systems which present a risk,https://ai-act-law.eu/article/82/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 83,Formal non-compliance,https://ai-act-law.eu/article/83/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 3,Enforcement,Article 84,Union AI testing support structures,https://ai-act-law.eu/article/84/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 4,Remedies,Article 85,Right to lodge a complaint with a market surveillance authority,https://ai-act-law.eu/article/85/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 4,Remedies,Article 86,Right to explanation of individual decision-making,https://ai-act-law.eu/article/86/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 4,Remedies,Article 87,Reporting of infringements and protection of reporting persons,https://ai-act-law.eu/article/87/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 88,Enforcement of the obligations of providers of general-purpose AI models,https://ai-act-law.eu/article/88/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 89,Monitoring actions,https://ai-act-law.eu/article/89/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 90,Alerts of systemic risks by the scientific panel,https://ai-act-law.eu/article/90/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 91,Power to request documentation and information,https://ai-act-law.eu/article/91/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 92,Power to conduct evaluations,https://ai-act-law.eu/article/92/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 93,Power to request measures,https://ai-act-law.eu/article/93/
Chapter 9,"Post-market monitoring, information sharing and market surveillance",Section 5,"Supervision, investigation, enforcement and monitoring in respect of providers of general-purpose AI models",Article 94,Procedural rights of economic operators of the general-purpose AI model,https://ai-act-law.eu/article/94/
Chapter 10,Codes of conduct and guidelines,,,Article 95,Codes of conduct for voluntary application of specific requirements,https://ai-act-law.eu/article/95/
Chapter 10,Codes of conduct and guidelines,,,Article 96,Guidelines from the Commission on the implementation of this Regulation,https://ai-act-law.eu/article/96/
Chapter 11,Delegation of power and committee procedure,,,Article 97,Exercise of the delegation,https://ai-act-law.eu/article/97/
Chapter 11,Delegation of power and committee procedure,,,Article 98,Committee procedure,https://ai-act-law.eu/article/98/
Chapter 12,Penalties,,,Article 99,Penalties,https://ai-act-law.eu/article/99/
Chapter 12,Penalties,,,Article 100,"Administrative fines on Union institutions, bodies, offices and agencies",https://ai-act-law.eu/article/100/
Chapter 12,Penalties,,,Article 101,Fines for providers of general-purpose AI models,https://ai-act-law.eu/article/101/
Chapter 13,Final provisions,,,Article 102,Amendment to Regulation (EC)&nbsp;No&nbsp;300/2008,https://ai-act-law.eu/article/102/
Chapter 13,Final provisions,,,Article 103,Amendment to Regulation (EU)&nbsp;No&nbsp;167/2013,https://ai-act-law.eu/article/103/
Chapter 13,Final provisions,,,Article 104,Amendment to Regulation (EU)&nbsp;No&nbsp;168/2013,https://ai-act-law.eu/article/104/
Chapter 13,Final provisions,,,Article 105,Amendment to Directive 2014/90/EU,https://ai-act-law.eu/article/105/
Chapter 13,Final provisions,,,Article 106,Amendment to Directive (EU)&nbsp;2016/797,https://ai-act-law.eu/article/106/
Chapter 13,Final provisions,,,Article 107,Amendment to Regulation (EU)&nbsp;2018/858,https://ai-act-law.eu/article/107/
Chapter 13,Final provisions,,,Article 108,Amendments to Regulation (EU)&nbsp;2018/1139,https://ai-act-law.eu/article/108/
Chapter 13,Final provisions,,,Article 109,Amendment to Regulation (EU)&nbsp;2019/2144,https://ai-act-law.eu/article/109/
Chapter 13,Final provisions,,,Article 110,Amendment to Directive (EU)&nbsp;2020/1828,https://ai-act-law.eu/article/110/
Chapter 13,Final provisions,,,Article 111,AI systems already placed on the market or put into service and general-purpose AI&nbsp;models already placed on the marked,https://ai-act-law.eu/article/111/
Chapter 13,Final provisions,,,Article 112,Evaluation and review,https://ai-act-law.eu/article/112/
Chapter 13,Final provisions,,,Article 113,Entry into force and application,https://ai-act-law.eu/article/113/
